2026 Rank,Previous Rank,Institution Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
233,236,university of padova,Italy,Europe,XL,FC,VH,Public,74.0,119,40.0,341,14.0,801,54.0,337,16.0,796,19.0,748,25.0,686,96.0,70,30.0,555,85.0,110,52.0
1201,1201,university of pannonia,Hungary,Europe,S,FO,VH,Public,6.0,701,7.0,701,33.0,584,15.0,801,6.0,801,7.0,801,6.0,801,56.0,760,5.0,801,23.0,801,0.0
1201,1201,university of pardubice,Czechia,Europe,M,CO,VH,Public,5.0,701,5.0,701,48.0,407,6.0,801,12.0,801,16.0,801,20.0,768,36.0,801,3.0,801,16.0,801,0.0
1001,951,university of parma,Italy,Europe,XL,FC,HI,Public,14.0,701,6.0,701,5.0,801,33.0,551,5.0,801,17.0,784,23.0,722,63.0,651,13.0,801,37.0,801,0.0
721,761,university of patras,Greece,Europe,L,FC,VH,Public,17.0,701,26.0,527,4.0,801,44.0,425,2.0,801,9.0,801,14.0,801,66.0,606,5.0,801,65.0,392,0.0
741,771,university of pecs,Hungary,Europe,L,FC,HI,Public,20.0,613,20.0,653,52.0,357,5.0,801,13.0,801,77.0,240,80.0,211,42.0,801,13.0,801,54.0,627,0.0
15,11,university of pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,99.0,30,99.0,28,100.0,29,72.0,199,97.0,151,76.0,249,79.0,221,89.0,182,100.0,4,95.0,24,93.0
1201,1201,university of peradeniya,Sri Lanka,Asia,L,CO,HI,Public,10.0,701,14.0,701,14.0,801,4.0,801,0.0,0,2.0,801,6.0,801,40.0,801,18.0,765,51.0,693,0.0
901,901,university of peshawar,Pakistan,Asia,L,FO,VH,Public,9.0,701,12.0,701,87.0,119,12.0,801,0.0,0,2.0,801,2.0,801,49.0,801,19.0,742,26.0,801,0.0
1201,0,university of petra,Jordan,Asia,M,CO,HI,Private for Profit,9.0,701,8.0,701,10.0,801,6.0,801,26.0,635,47.0,429,44.0,472,10.0,801,6.0,801,35.0,801,0.0
